PWSID,dist_airport_m,dist_airport_km,dist_military_m,dist_military_km,dist_landfill_m,dist_landfill_km,dist_wwtp_m,dist_wwtp_km,dist_industrial_m,dist_industrial_km,landfills_within_1km,industrial_within_1km,landfills_within_3km,industrial_within_3km,landfills_within_5km,industrial_within_5km,landfills_within_10km,industrial_within_10km,is_groundwater,is_mwra,source_type,SITE_NAME,TOWN,num_sources,pws_name,total_samples,total_results,any_detection,ever_exceeded_federal_mcl,max_pfoa_ppt,max_pfos_ppt,num_pfas_detected,max_pfas6_sum_ppt,ever_exceeded_ma_mmcl,in_ucmr5,pfas_detected,serves_ej_community,ej_area_fraction,ej_population_overlapped,any_income,any_minority,any_english,ej_criteria_distinct
MA1004000,11201.063866502036,11.201063866502036,59144.526518087376,59.144526518087375,3176.901029648254,3.1769010296482536,4274.754505346381,4.274754505346381,4232.891414198597,4.232891414198597,0,0,0,0,2,3,9,5,1,0,GW,CHESHIRE HARBOR 4,ADAMS,3,ADAMS FIRE DISTRICT,2.0,58.0,False,False,,,0.0,10.5,False,True,0,1,0.7561958224459691,7525.0,1,0,0,1
MA1008000,4265.37835955232,4.2653783595523205,14405.411825392834,14.405411825392834,1015.4559595731772,1.0154559595731771,5189.72440128267,5.18972440128267,4427.615857515765,4.427615857515765,0,0,2,0,3,1,7,8,1,0,GW,WELL #6 (07G),AMHERST,9,AMHERST DPW  WATER DIVISION,15.0,348.0,False,False,,,0.0,10.5,False,True,0,1,0.6883918401693706,37091.0,1,1,0,2
MA1015000,2581.5815884497483,2.5815815884497484,46609.40091097321,46.60940091097321,1985.4875205357137,1.9854875205357136,1295.885805371504,1.295885805371504,204.4120737867095,0.2044120737867095,0,2,2,4,3,4,7,6,1,0,GW,SOUTH STREET GRAVEL PACKED WELL,ATHOL,6,ATHOL DPW  WATER DIVISION,4.0,116.0,False,False,,,0.0,10.5,False,True,0,1,0.2677764172699224,5804.0,1,0,0,1
MA1024000,2500.8259061332137,2.5008259061332136,15172.649442781509,15.172649442781507,3176.77769346367,3.17677769346367,1749.0911994301114,1.7490911994301113,2341.834394338157,2.3418343943381568,0,0,0,1,4,2,6,8,1,0,GW,JABISH BROOK WELLFIELD (06G),BELCHERTOWN,6,BELCHERTOWN WATER DISTRICT,4.0,116.0,False,False,,,0.0,10.5,False,True,0,0,0.0,0.0,0,0,0,0
MA1070000,4448.869800180124,4.448869800180124,48593.85833421408,48.59385833421408,2116.675552955522,2.116675552955522,2930.097393757748,2.9300973937577472,2614.494573204799,2.614494573204799,0,0,2,1,2,7,9,23,1,0,ESW,WAHCONAH FALLS ROAD WELL (01G),DALTON,4,DALTON FIRE DISTRICT,6.0,174.0,False,False,,,0.0,10.5,False,True,0,1,0.2951536844833725,3706.0,1,0,0,1
MA1074001,9062.402229443109,9.062402229443109,30827.91520059449,30.827915200594493,3165.8742857032903,3.1658742857032904,1399.963043789752,1.399963043789752,2457.398899874508,2.457398899874508,0,0,0,1,3,1,9,1,1,0,SW,CONWAY RESERVOIR (02S),DEERFIELD,3,SOUTH DEERFIELD WATER SUPPLY DISTRICT,4.0,116.0,False,False,,,0.0,10.5,False,True,0,0,0.0,0.0,0,0,0,0
MA1087000,4227.729011856203,4.227729011856203,10264.084064957658,10.26408406495766,1347.0274607024603,1.3470274607024604,1185.8059845737282,1.185805984573728,641.905971932146,0.641905971932146,0,2,2,4,7,6,16,42,1,0,GW,MALONEY WELL (07G),EASTHAMPTON,6,EASTHAMPTON WATER DEPT,8.0,232.0,False,False,,,0.0,10.5,False,True,0,1,0.216037596305497,4150.0,1,0,0,1
MA1113000,1596.1620970393535,1.5961620970393535,52539.66794259536,52.53966794259536,3247.863985645937,3.247863985645937,2247.0565208733638,2.2470565208733637,11098.867566403123,11.098867566403126,0,0,0,0,2,0,6,0,1,0,ESW,EAST MT RESERVOIR,GREAT BARRINGTON,2,GREAT BARRINGTON FIRE DIST,2.0,58.0,False,False,,,0.0,10.5,False,True,0,1,0.2860668800840981,1466.0,1,1,0,2
MA1114000,7163.706428516368,7.163706428516368,50137.34304255612,50.13734304255612,3410.2347608729647,3.4102347608729646,4305.550265837886,4.305550265837886,4126.669416929727,4.126669416929727,0,0,0,0,1,2,8,10,1,0,GW,GREEN RIVER (03S),GREENFIELD,6,GREENFIELD WATER DEPARTMENT,6.0,174.0,False,False,,,0.0,10.5,False,True,0,1,0.350009335984451,10579.0,1,1,0,2
MA1117002,2231.543594270775,2.231543594270775,15795.129410233372,15.795129410233372,2795.2637692397902,2.7952637692397904,1780.180782691445,1.780180782691445,1884.5338753603223,1.8845338753603225,0,0,1,4,2,14,10,25,1,0,GW,WELL #2  MT. WARNER,HADLEY,4,HADLEY DPW WATER DIVISION,4.0,116.0,False,False,,,0.0,10.5,False,True,0,1,6.472777462184668e-06,6571.0,1,1,0,2
MA1127000,5878.690203837258,5.878690203837258,22077.779959813288,22.077779959813288,2634.19174019161,2.6341917401916097,2886.3656993677287,2.8863656993677287,1103.6386411804572,1.103638641180457,0,0,1,1,4,10,9,22,1,0,GW,OMASTA WELL (02G),HATFIELD,3,HATFIELD WATER DEPT,8.0,232.0,True,False,,,4.0,10.5,False,True,1,0,0.0,0.0,0,0,0,0
MA1137000,4499.403207930394,4.499403207930394,4477.736802978433,4.477736802978433,2095.869985424275,2.095869985424275,3077.149249257915,3.077149249257915,1695.713479053844,1.695713479053844,0,0,2,6,3,21,22,96,0,0,ESW,MCLEAN RESERVOIR (03S),HOLYOKE,4,HOLYOKE WATER WORKS,8.0,207.0,False,False,,,0.0,10.5,False,True,0,1,0.478651003900453,30507.0,1,1,1,4
MA1150000,4527.736978362719,4.527736978362719,44267.46202252034,44.26746202252034,1460.9951144332567,1.4609951144332567,2995.1109020396825,2.9951109020396824,1725.6469261890402,1.72564692618904,0,0,2,1,7,2,13,5,0,0,SW,VANETTI RESERVOIR (02S),LEE,4,LEE WATER DEPT,4.0,116.0,False,False,,,0.0,10.5,False,True,0,1,0.096970540786856,956.0,1,0,0,1
MA1152000,6858.718670767476,6.858718670767476,55564.295084378326,55.56429508437832,3400.9780197851155,3.400978019785116,4673.464743230115,4.673464743230116,6106.146418643053,6.106146418643053,0,0,0,0,4,0,12,5,0,0,SW,LOWER ROOT RESERVOIR (01S),LENOX,2,LENOX DPW WATER DIVISION,4.0,116.0,False,False,,,0.0,10.5,False,True,0,1,0.1596306543048083,1518.0,1,0,0,1
MA1191000,4578.847920615262,4.578847920615263,19574.783438837418,19.574783438837414,1615.017084342484,1.615017084342484,731.1730936513251,0.7311730936513251,160.02476877398817,0.1600247687739881,0,2,2,5,3,8,11,11,1,0,GW,BUNYAN ROAD REPLACEMENT WELL #1,MONSON,4,MONSON WATER AND SEWER DEPT,7.0,174.0,False,False,,,0.0,10.5,False,True,0,1,0.33368516859312,1136.0,1,0,0,1
MA1192000,3011.550105485434,3.011550105485434,38329.80784058063,38.32980784058063,3317.747201964849,3.317747201964849,1701.894891438047,1.701894891438047,3904.6544680734255,3.9046544680734256,0,0,0,0,3,3,9,10,1,0,ESW,HANNEGAN BROOK WELL,MONTAGUE,4,TURNERS FALLS WATER DEPT,4.0,116.0,False,False,,,0.0,10.5,False,True,0,1,0.3126768260877736,4036.0,1,0,0,1
MA1209000,1301.6824873053376,1.3016824873053376,66903.38666168286,66.90338666168286,1493.6685580597157,1.4936685580597155,2769.576817429931,2.769576817429931,1078.3691452827388,1.0783691452827389,0,0,2,2,7,4,14,5,1,0,SW,GREYLOCK WELL (01G),NORTH ADAMS,3,NORTH ADAMS WATER DEPT,5.0,116.0,True,True,5.9,,1.0,14.4,False,True,1,1,0.8067622020638425,10728.0,1,0,0,1
MA1214000,5736.83603373447,5.736836033734471,18749.51236987444,18.74951236987444,1636.530806943987,1.636530806943987,1396.177563516985,1.3961775635169849,771.4369529527006,0.7714369529527006,0,1,1,2,5,16,15,22,1,0,SW,WEST WHATELY RESERVOIR,NORTHAMPTON,5,NORTHAMPTON WATER DEPT,9.0,232.0,False,False,,,0.0,10.5,False,True,0,1,0.2240394957811694,10076.0,1,1,0,2
MA1223000,2240.480389391588,2.240480389391588,44286.26214809471,44.28626214809472,2954.7682323468543,2.9547682323468543,2038.2998053038848,2.0382998053038848,2255.3086245517898,2.2553086245517897,0,0,1,2,3,3,8,7,1,0,GW,LAKE MATTAWA (01S),ORANGE,7,ORANGE WATER DEPT,9.0,261.0,True,False,,,1.0,13.3,False,True,1,1,0.4995747796820593,2703.0,1,0,0,1
