PWSID,dist_airport_m,dist_airport_km,dist_military_m,dist_military_km,dist_landfill_m,dist_landfill_km,dist_wwtp_m,dist_wwtp_km,dist_industrial_m,dist_industrial_km,landfills_within_1km,industrial_within_1km,landfills_within_3km,industrial_within_3km,landfills_within_5km,industrial_within_5km,landfills_within_10km,industrial_within_10km,is_groundwater,is_mwra,source_type,SITE_NAME,TOWN,num_sources,pws_name,total_samples,total_results,any_detection,ever_exceeded_federal_mcl,max_pfoa_ppt,max_pfos_ppt,num_pfas_detected,max_pfas6_sum_ppt,ever_exceeded_ma_mmcl,in_ucmr5,pfas_detected,serves_ej_community,ej_area_fraction,ej_population_overlapped,any_income,any_minority,any_english,ej_criteria_distinct,predicted_risk_score,risk_category
MA1004001,6580.848383776583,6.580848383776583,60113.13472545549,60.113134725455495,3707.5752429008703,3.7075752429008704,4301.58075839657,4.30158075839657,4017.8641049342905,4.017864104934291,0,0,0,0,3,3,15,13,0,0,TNC,DCR MT GREYLOCK STATE RESERVATION,ADAMS,3,,,,,,,,,,,False,,0,0.0,0.0,0,0,0,0,0.20093153011691162,Low
MA1005001,1294.3565145084874,1.2943565145084874,12571.941711528634,12.571941711528634,4631.578708363792,4.631578708363793,2714.90430619368,2.71490430619368,676.9694930085831,0.6769694930085831,0,2,0,5,1,8,19,51,0,0,TNC,ST ANNE COUNTRY CLUB INC,AGAWAM,1,,,,,,,,,,,False,,0,0.0,0.0,0,0,0,0,0.3873385240361436,Moderate
MA1006001,5873.570781707455,5.873570781707455,58332.81533193115,58.33281533193115,2600.9524539219738,2.6009524539219737,5530.915367694945,5.530915367694946,11396.25032494886,11.39625032494886,0,0,1,0,1,0,6,0,0,0,NTNC,ALFORD SCHOOL,ALFORD,1,,,,,,,,,,,False,,0,0.0,0.0,0,0,0,0,0.0516798562061387,Low
MA1008006,6880.291414545191,6.880291414545191,12406.53007373512,12.40653007373512,6497.399049809857,6.497399049809857,6081.307945882048,6.081307945882048,5927.33842773946,5.92733842773946,0,0,0,0,0,0,9,21,0,0,TNC,DCR NOTCH VISITORS CENTER,AMHERST,1,,,,,,,,,,,False,,0,0.0,0.0,0,0,0,0,0.1565464656570666,Low
MA1013000,18738.40938522344,18.73840938522344,42320.11270385553,42.32011270385553,1930.5880638017104,1.9305880638017103,1431.0158956308708,1.4310158956308707,15584.21172731766,15.58421172731766,0,0,1,0,2,0,10,0,1,0,GW,WELL #1 (01G),ASHFIELD,2,,,,,,,,,,,False,,0,0.0,0.0,0,0,0,0,0.009076805022040875,Low
MA1013001,16284.867835981877,16.284867835981874,39787.11378192345,39.78711378192345,4878.641252225637,4.878641252225637,2740.38091586788,2.74038091586788,17107.14927391369,17.107149273913688,0,0,0,0,1,0,7,0,0,0,NTNC,SANDERSON ACADEMY,ASHFIELD,1,,,,,,,,,,,False,,0,0.0,0.0,0,0,0,0,0.00453732107083812,Low
MA1013002,21671.16869229244,21.671168692292444,44035.94913732905,44.03594913732905,1759.2201555243091,1.7592201555243092,2778.176392682027,2.778176392682027,12863.961291561714,12.863961291561717,0,0,2,0,2,0,7,0,0,0,TNC,EDGE HILL GOLF COURSE,ASHFIELD,1,,,,,,,,,,,False,,0,0.0,0.0,0,0,0,0,0.006867324075135154,Low
MA1013004,18837.45506987805,18.83745506987805,40343.00824408641,40.34300824408641,4221.878924470047,4.221878924470047,1475.2717162633087,1.4752717162633089,14552.058342937073,14.552058342937071,0,0,0,0,1,0,8,0,0,0,TNC,DOUBLE EDGE THEATRE,ASHFIELD,1,,,,,,,,,,,False,,0,0.0,0.0,0,0,0,0,0.004936006960848334,Low
MA1015001,1371.5952875535063,1.3715952875535062,48510.63955424272,48.51063955424272,3628.374778676085,3.628374778676085,2090.125867508374,2.090125867508374,2224.511626976872,2.224511626976872,0,0,0,1,2,3,7,5,0,0,NTNC,ADAMS FARM SLAUGHTERHOUSE LLC,ATHOL,1,,,,,,,,,,,False,,0,0.0,0.0,0,0,0,0,0.2710874942621428,Moderate
MA1015002,4671.157912517776,4.671157912517776,42957.37546051859,42.95737546051859,6170.613678143722,6.170613678143722,6767.517952184373,6.767517952184373,3976.472076181105,3.9764720761811048,0,0,0,0,0,1,5,6,0,0,TNC,MORGAN MEMORIAL FRESH AIR CAMP,ATHOL,3,,,,,,,,,,,False,,0,0.0,0.0,0,0,0,0,0.2709019442429473,Moderate
MA1015004,3381.521608167099,3.381521608167099,50425.37147122567,50.42537147122567,1060.2423585944662,1.0602423585944662,2684.6225655666663,2.6846225655666665,2195.7026627450764,2.1957026627450764,0,0,2,1,2,4,5,5,0,0,TNC,SMALL WONDERS PRESCHOOL CENTER,ATHOL,1,,,,,,,,,,,False,,0,0.0,0.0,0,0,0,0,0.24816352979363565,Low
MA1015006,2248.9180295516226,2.2489180295516227,46925.67564685815,46.92567564685815,5598.033746685364,5.598033746685364,3576.815278697442,3.576815278697442,3921.970666623653,3.9219706666236527,0,0,0,0,0,2,9,5,1,0,GW,WELL #1,ATHOL,1,,,,,,,,,,,False,,1,1.0,2153.0,1,0,0,1,0.3814352016605973,Moderate
MA1022001,5639.912054131724,5.639912054131725,26774.02204986977,26.77402204986977,2480.024000622529,2.480024000622529,10811.421064845852,10.811421064845852,10987.112342023944,10.987112342023943,0,0,2,0,4,0,9,0,0,0,TNC,BECKET ROUTE 20 SPRING,BECKET,1,,,,,,,,,,,False,,0,0.0,0.0,0,0,0,0,0.15990576558693342,Low
MA1022002,4669.0159986017925,4.669015998601792,36091.22873102549,36.09122873102549,555.8225361348565,0.5558225361348564,12752.99641789705,12.75299641789705,12990.735284187142,12.990735284187142,1,0,1,0,2,0,9,0,0,0,TNC,THE NEON NEWT,BECKET,1,,,,,,,,,,,False,,0,0.0,0.0,0,0,0,0,0.1311860935301675,Low
MA1022004,5942.207444599602,5.942207444599602,29896.518189273043,29.89651818927304,803.5172583703787,0.8035172583703787,8079.482677654059,8.07948267765406,14421.086832615374,14.421086832615376,1,0,1,0,2,0,10,0,0,0,TNC,PAPA BOBS LLC,BECKET,1,,,,,,,,,,,False,,0,0.0,0.0,0,0,0,0,0.04460449903317711,Low
MA1022006,3304.5034514612203,3.3045034514612204,33683.38864779707,33.68338864779707,2008.3085760548363,2.0083085760548363,12103.683742732754,12.103683742732754,14492.45354576599,14.49245354576599,0,0,1,0,2,0,11,0,0,0,TNC,CAMP WATITOH,BECKET,1,,,,,,,,,,,False,,0,0.0,0.0,0,0,0,0,0.10409153482580201,Low
MA1022009,10435.45411794479,10.43545411794479,34913.40552914907,34.913405529149074,2094.045864535813,2.094045864535813,5837.727776990678,5.837727776990678,11836.819763481006,11.836819763481008,0,0,1,0,2,0,7,0,0,0,TNC,CAMP LENOX,BECKET,1,,,,,,,,,,,False,,0,0.0,0.0,0,0,0,0,0.03709473505210962,Low
MA1022010,7360.852659496545,7.360852659496545,30651.49233932361,30.651492339323607,1514.109295948728,1.514109295948728,6542.920283866516,6.542920283866516,15455.50438600176,15.455504386001762,0,0,1,0,2,0,8,0,0,0,TNC,SHERWOOD SHOPPE,BECKET,1,,,,,,,,,,,False,,0,0.0,0.0,0,0,0,0,0.025554561215236513,Low
MA1022011,4479.850532182345,4.479850532182345,35901.875562552385,35.901875562552384,725.0147432123754,0.7250147432123754,12867.124285382672,12.867124285382673,13162.099071548888,13.162099071548887,1,0,1,0,2,0,9,0,0,0,NTNC,BECKET WASHINGTON SCHOOL,BECKET,1,,,,,,,,,,,False,,0,0.0,0.0,0,0,0,0,0.13167751204891182,Low
