PWSID,PWSName,Size,FacilityID,FacilityName,FacilityWaterType,SamplePointID,SamplePointName,SamplePointType,AssociatedFacilityID,AssociatedSamplePointID,CollectionDate,SampleID,Contaminant,MRL,Units,MethodID,AnalyticalResultsSign,AnalyticalResultValue,SampleEventCode,MonitoringRequirement,Region,State,UCMR1SampleType,detected,concentration_ugL,concentration_ppt,pfas_abbrev,exceeds_federal_mcl
MA1004000,ADAMS FIRE DISTRICT,S,100400002G,POINT OF ENTRY POST TREATMENT,GW,10006,"Harbor 2A, 3, & 4 Manifold",EP,,,5/5/2025,128492P,HFPO-DA,0.005,µg/L,EPA 533,<,,SE1,AM,1,MA,,False,0.0025,2.5,HFPO-DA,False
MA1004000,ADAMS FIRE DISTRICT,S,100400002G,POINT OF ENTRY POST TREATMENT,GW,10006,"Harbor 2A, 3, & 4 Manifold",EP,,,5/5/2025,128492P,NMeFOSAA,0.006,µg/L,EPA 537.1,<,,SE1,AM,1,MA,,False,0.003,3.0,NMeFOSAA,False
MA1004000,ADAMS FIRE DISTRICT,S,100400002G,POINT OF ENTRY POST TREATMENT,GW,10006,"Harbor 2A, 3, & 4 Manifold",EP,,,5/5/2025,128492P,PFBS,0.003,µg/L,EPA 533,<,,SE1,AM,1,MA,,False,0.0015,1.5,PFBS,False
MA1004000,ADAMS FIRE DISTRICT,S,100400002G,POINT OF ENTRY POST TREATMENT,GW,10006,"Harbor 2A, 3, & 4 Manifold",EP,,,5/5/2025,128492P,PFHpA,0.003,µg/L,EPA 533,<,,SE1,AM,1,MA,,False,0.0015,1.5,PFHpA,False
MA1004000,ADAMS FIRE DISTRICT,S,100400002G,POINT OF ENTRY POST TREATMENT,GW,10006,"Harbor 2A, 3, & 4 Manifold",EP,,,5/5/2025,128492P,PFHxS,0.003,µg/L,EPA 533,<,,SE1,AM,1,MA,,False,0.0015,1.5,PFHxS,False
MA1004000,ADAMS FIRE DISTRICT,S,100400002G,POINT OF ENTRY POST TREATMENT,GW,10006,"Harbor 2A, 3, & 4 Manifold",EP,,,5/5/2025,128492P,PFNA,0.004,µg/L,EPA 533,<,,SE1,AM,1,MA,,False,0.002,2.0,PFNA,False
MA1004000,ADAMS FIRE DISTRICT,S,100400002G,POINT OF ENTRY POST TREATMENT,GW,10006,"Harbor 2A, 3, & 4 Manifold",EP,,,5/5/2025,128492P,PFOS,0.004,µg/L,EPA 533,<,,SE1,AM,1,MA,,False,0.002,2.0,PFOS,False
MA1004000,ADAMS FIRE DISTRICT,S,100400002G,POINT OF ENTRY POST TREATMENT,GW,10006,"Harbor 2A, 3, & 4 Manifold",EP,,,5/5/2025,128492P,PFOA,0.004,µg/L,EPA 533,<,,SE1,AM,1,MA,,False,0.002,2.0,PFOA,False
MA1004000,ADAMS FIRE DISTRICT,S,100400002G,POINT OF ENTRY POST TREATMENT,GW,10006,"Harbor 2A, 3, & 4 Manifold",EP,,,5/5/2025,128492P,PFDA,0.003,µg/L,EPA 533,<,,SE1,AM,1,MA,,False,0.0015,1.5,PFDA,False
MA1004000,ADAMS FIRE DISTRICT,S,100400002G,POINT OF ENTRY POST TREATMENT,GW,10006,"Harbor 2A, 3, & 4 Manifold",EP,,,5/5/2025,128492P,PFDoA,0.003,µg/L,EPA 533,<,,SE1,AM,1,MA,,False,0.0015,1.5,PFDoA,False
MA1004000,ADAMS FIRE DISTRICT,S,100400002G,POINT OF ENTRY POST TREATMENT,GW,10006,"Harbor 2A, 3, & 4 Manifold",EP,,,5/5/2025,128492P,PFHxA,0.003,µg/L,EPA 533,<,,SE1,AM,1,MA,,False,0.0015,1.5,PFHxA,False
MA1004000,ADAMS FIRE DISTRICT,S,100400002G,POINT OF ENTRY POST TREATMENT,GW,10006,"Harbor 2A, 3, & 4 Manifold",EP,,,5/5/2025,128492P,NEtFOSAA,0.005,µg/L,EPA 537.1,<,,SE1,AM,1,MA,,False,0.0025,2.5,NEtFOSAA,False
MA1004000,ADAMS FIRE DISTRICT,S,100400002G,POINT OF ENTRY POST TREATMENT,GW,10006,"Harbor 2A, 3, & 4 Manifold",EP,,,5/5/2025,128492P,9Cl-PF3ONS,0.002,µg/L,EPA 533,<,,SE1,AM,1,MA,,False,0.001,1.0,9Cl-PF3ONS,False
MA1004000,ADAMS FIRE DISTRICT,S,100400002G,POINT OF ENTRY POST TREATMENT,GW,10006,"Harbor 2A, 3, & 4 Manifold",EP,,,5/5/2025,128492P,11Cl-PF3OUdS,0.005,µg/L,EPA 533,<,,SE1,AM,1,MA,,False,0.0025,2.5,11Cl-PF3OUdS,False
MA1004000,ADAMS FIRE DISTRICT,S,100400002G,POINT OF ENTRY POST TREATMENT,GW,10006,"Harbor 2A, 3, & 4 Manifold",EP,,,5/5/2025,128492P,PFBA,0.005,µg/L,EPA 533,<,,SE1,AM,1,MA,,False,0.0025,2.5,PFBA,False
MA1004000,ADAMS FIRE DISTRICT,S,100400002G,POINT OF ENTRY POST TREATMENT,GW,10006,"Harbor 2A, 3, & 4 Manifold",EP,,,5/5/2025,128492P,6:2 FTS,0.005,µg/L,EPA 533,<,,SE1,AM,1,MA,,False,0.0025,2.5,6:2 FTS,False
MA1004000,ADAMS FIRE DISTRICT,S,100400002G,POINT OF ENTRY POST TREATMENT,GW,10006,"Harbor 2A, 3, & 4 Manifold",EP,,,5/5/2025,128492P,4:2 FTS,0.003,µg/L,EPA 533,<,,SE1,AM,1,MA,,False,0.0015,1.5,4:2 FTS,False
MA1004000,ADAMS FIRE DISTRICT,S,100400002G,POINT OF ENTRY POST TREATMENT,GW,10006,"Harbor 2A, 3, & 4 Manifold",EP,,,5/5/2025,128492P,8:2 FTS,0.005,µg/L,EPA 533,<,,SE1,AM,1,MA,,False,0.0025,2.5,8:2 FTS,False
MA1004000,ADAMS FIRE DISTRICT,S,100400002G,POINT OF ENTRY POST TREATMENT,GW,10006,"Harbor 2A, 3, & 4 Manifold",EP,,,5/5/2025,128492P,PFMPA,0.004,µg/L,EPA 533,<,,SE1,AM,1,MA,,False,0.002,2.0,PFMPA,False
MA1004000,ADAMS FIRE DISTRICT,S,100400002G,POINT OF ENTRY POST TREATMENT,GW,10006,"Harbor 2A, 3, & 4 Manifold",EP,,,5/5/2025,128492P,PFPeA,0.003,µg/L,EPA 533,<,,SE1,AM,1,MA,,False,0.0015,1.5,PFPeA,False
MA1004000,ADAMS FIRE DISTRICT,S,100400002G,POINT OF ENTRY POST TREATMENT,GW,10006,"Harbor 2A, 3, & 4 Manifold",EP,,,5/5/2025,128492P,PFMBA,0.003,µg/L,EPA 533,<,,SE1,AM,1,MA,,False,0.0015,1.5,PFMBA,False
MA1004000,ADAMS FIRE DISTRICT,S,100400002G,POINT OF ENTRY POST TREATMENT,GW,10006,"Harbor 2A, 3, & 4 Manifold",EP,,,5/5/2025,128492P,PFEESA,0.003,µg/L,EPA 533,<,,SE1,AM,1,MA,,False,0.0015,1.5,PFEESA,False
MA1004000,ADAMS FIRE DISTRICT,S,100400002G,POINT OF ENTRY POST TREATMENT,GW,10006,"Harbor 2A, 3, & 4 Manifold",EP,,,5/5/2025,128492P,NFDHA,0.02,µg/L,EPA 533,<,,SE1,AM,1,MA,,False,0.01,10.0,NFDHA,False
MA1004000,ADAMS FIRE DISTRICT,S,100400002G,POINT OF ENTRY POST TREATMENT,GW,10006,"Harbor 2A, 3, & 4 Manifold",EP,,,5/5/2025,128492P,PFPeS,0.004,µg/L,EPA 533,<,,SE1,AM,1,MA,,False,0.002,2.0,PFPeS,False
MA1004000,ADAMS FIRE DISTRICT,S,100400002G,POINT OF ENTRY POST TREATMENT,GW,10006,"Harbor 2A, 3, & 4 Manifold",EP,,,5/5/2025,128492P,PFHpS,0.003,µg/L,EPA 533,<,,SE1,AM,1,MA,,False,0.0015,1.5,PFHpS,False
MA1004000,ADAMS FIRE DISTRICT,S,100400002G,POINT OF ENTRY POST TREATMENT,GW,10006,"Harbor 2A, 3, & 4 Manifold",EP,,,5/5/2025,128492P,PFUnA,0.002,µg/L,EPA 533,<,,SE1,AM,1,MA,,False,0.001,1.0,PFUnA,False
MA1004000,ADAMS FIRE DISTRICT,S,100400002G,POINT OF ENTRY POST TREATMENT,GW,10006,"Harbor 2A, 3, & 4 Manifold",EP,,,5/5/2025,128492P,PFTA,0.008,µg/L,EPA 537.1,<,,SE1,AM,1,MA,,False,0.004,4.0,PFTA,False
MA1004000,ADAMS FIRE DISTRICT,S,100400002G,POINT OF ENTRY POST TREATMENT,GW,10006,"Harbor 2A, 3, & 4 Manifold",EP,,,5/5/2025,128492P,ADONA,0.003,µg/L,EPA 533,<,,SE1,AM,1,MA,,False,0.0015,1.5,ADONA,False
MA1004000,ADAMS FIRE DISTRICT,S,100400002G,POINT OF ENTRY POST TREATMENT,GW,10006,"Harbor 2A, 3, & 4 Manifold",EP,,,5/5/2025,128492P,PFTrDA,0.007,µg/L,EPA 537.1,<,,SE1,AM,1,MA,,False,0.0035,3.5,PFTrDA,False
MA1004000,ADAMS FIRE DISTRICT,S,100400002G,POINT OF ENTRY POST TREATMENT,GW,10006,"Harbor 2A, 3, & 4 Manifold",EP,,,11/3/2025,134193P,PFOS,0.004,µg/L,EPA 533,<,,SE2,AM,1,MA,,False,0.002,2.0,PFOS,False
MA1004000,ADAMS FIRE DISTRICT,S,100400002G,POINT OF ENTRY POST TREATMENT,GW,10006,"Harbor 2A, 3, & 4 Manifold",EP,,,11/3/2025,134193P,PFNA,0.004,µg/L,EPA 533,<,,SE2,AM,1,MA,,False,0.002,2.0,PFNA,False
MA1004000,ADAMS FIRE DISTRICT,S,100400002G,POINT OF ENTRY POST TREATMENT,GW,10006,"Harbor 2A, 3, & 4 Manifold",EP,,,11/3/2025,134193P,PFHxS,0.003,µg/L,EPA 533,<,,SE2,AM,1,MA,,False,0.0015,1.5,PFHxS,False
MA1004000,ADAMS FIRE DISTRICT,S,100400002G,POINT OF ENTRY POST TREATMENT,GW,10006,"Harbor 2A, 3, & 4 Manifold",EP,,,11/3/2025,134193P,PFHpA,0.003,µg/L,EPA 533,<,,SE2,AM,1,MA,,False,0.0015,1.5,PFHpA,False
MA1004000,ADAMS FIRE DISTRICT,S,100400002G,POINT OF ENTRY POST TREATMENT,GW,10006,"Harbor 2A, 3, & 4 Manifold",EP,,,11/3/2025,134193P,PFBS,0.003,µg/L,EPA 533,<,,SE2,AM,1,MA,,False,0.0015,1.5,PFBS,False
MA1004000,ADAMS FIRE DISTRICT,S,100400002G,POINT OF ENTRY POST TREATMENT,GW,10006,"Harbor 2A, 3, & 4 Manifold",EP,,,11/3/2025,134193P,PFOA,0.004,µg/L,EPA 533,<,,SE2,AM,1,MA,,False,0.002,2.0,PFOA,False
MA1004000,ADAMS FIRE DISTRICT,S,100400002G,POINT OF ENTRY POST TREATMENT,GW,10006,"Harbor 2A, 3, & 4 Manifold",EP,,,11/3/2025,134193P,PFHxA,0.003,µg/L,EPA 533,<,,SE2,AM,1,MA,,False,0.0015,1.5,PFHxA,False
MA1004000,ADAMS FIRE DISTRICT,S,100400002G,POINT OF ENTRY POST TREATMENT,GW,10006,"Harbor 2A, 3, & 4 Manifold",EP,,,11/3/2025,134193P,PFDoA,0.003,µg/L,EPA 533,<,,SE2,AM,1,MA,,False,0.0015,1.5,PFDoA,False
MA1004000,ADAMS FIRE DISTRICT,S,100400002G,POINT OF ENTRY POST TREATMENT,GW,10006,"Harbor 2A, 3, & 4 Manifold",EP,,,11/3/2025,134193P,PFUnA,0.002,µg/L,EPA 533,<,,SE2,AM,1,MA,,False,0.001,1.0,PFUnA,False
MA1004000,ADAMS FIRE DISTRICT,S,100400002G,POINT OF ENTRY POST TREATMENT,GW,10006,"Harbor 2A, 3, & 4 Manifold",EP,,,11/3/2025,134193P,11Cl-PF3OUdS,0.005,µg/L,EPA 533,<,,SE2,AM,1,MA,,False,0.0025,2.5,11Cl-PF3OUdS,False
MA1004000,ADAMS FIRE DISTRICT,S,100400002G,POINT OF ENTRY POST TREATMENT,GW,10006,"Harbor 2A, 3, & 4 Manifold",EP,,,11/3/2025,134193P,9Cl-PF3ONS,0.002,µg/L,EPA 533,<,,SE2,AM,1,MA,,False,0.001,1.0,9Cl-PF3ONS,False
MA1004000,ADAMS FIRE DISTRICT,S,100400002G,POINT OF ENTRY POST TREATMENT,GW,10006,"Harbor 2A, 3, & 4 Manifold",EP,,,11/3/2025,134193P,ADONA,0.003,µg/L,EPA 533,<,,SE2,AM,1,MA,,False,0.0015,1.5,ADONA,False
MA1004000,ADAMS FIRE DISTRICT,S,100400002G,POINT OF ENTRY POST TREATMENT,GW,10006,"Harbor 2A, 3, & 4 Manifold",EP,,,11/3/2025,134193P,HFPO-DA,0.005,µg/L,EPA 533,<,,SE2,AM,1,MA,,False,0.0025,2.5,HFPO-DA,False
MA1004000,ADAMS FIRE DISTRICT,S,100400002G,POINT OF ENTRY POST TREATMENT,GW,10006,"Harbor 2A, 3, & 4 Manifold",EP,,,11/3/2025,134193P,PFBA,0.005,µg/L,EPA 533,<,,SE2,AM,1,MA,,False,0.0025,2.5,PFBA,False
MA1004000,ADAMS FIRE DISTRICT,S,100400002G,POINT OF ENTRY POST TREATMENT,GW,10006,"Harbor 2A, 3, & 4 Manifold",EP,,,11/3/2025,134193P,6:2 FTS,0.005,µg/L,EPA 533,<,,SE2,AM,1,MA,,False,0.0025,2.5,6:2 FTS,False
