PWSID,PWSName,SamplePointID,CollectionDate,pfas6_sum_ppt,pfas6_n_detected,pfas6_n_analytes,exceeds_ma_mmcl
MA1004000,ADAMS FIRE DISTRICT,10006,11/3/2025,10.5,0,6,False
MA1004000,ADAMS FIRE DISTRICT,10006,5/5/2025,10.5,0,6,False
MA1005000,AGAWAM WATER DEPARTMENT,EP001,11/6/2024,10.5,0,6,False
MA1005000,AGAWAM WATER DEPARTMENT,EP001,2/14/2025,10.5,0,6,False
MA1005000,AGAWAM WATER DEPARTMENT,EP001,5/8/2024,10.5,0,6,False
MA1005000,AGAWAM WATER DEPARTMENT,EP001,8/21/2024,10.5,0,6,False
MA1008000,AMHERST DPW  WATER DIVISION,16954,2/7/2024,10.5,0,6,False
MA1008000,AMHERST DPW  WATER DIVISION,16954,8/14/2023,10.5,0,6,False
MA1008000,AMHERST DPW  WATER DIVISION,21626,2/7/2024,10.5,0,6,False
MA1008000,AMHERST DPW  WATER DIVISION,21626,8/14/2023,10.5,0,6,False
MA1008000,AMHERST DPW  WATER DIVISION,494,11/1/2023,10.5,0,6,False
MA1008000,AMHERST DPW  WATER DIVISION,494,2/7/2024,10.5,0,6,False
MA1008000,AMHERST DPW  WATER DIVISION,494,6/12/2024,10.5,0,6,False
MA1008000,AMHERST DPW  WATER DIVISION,494,9/5/2023,10.5,0,6,False
MA1008000,AMHERST DPW  WATER DIVISION,499,2/7/2024,10.5,0,6,False
MA1008000,AMHERST DPW  WATER DIVISION,499,8/14/2023,10.5,0,6,False
MA1008000,AMHERST DPW  WATER DIVISION,501,2/7/2024,10.5,0,6,False
MA1008000,AMHERST DPW  WATER DIVISION,501,8/14/2023,10.5,0,6,False
MA1015000,ATHOL DPW  WATER DIVISION,10000,3/26/2025,10.5,0,6,False
MA1015000,ATHOL DPW  WATER DIVISION,10000,9/10/2024,10.5,0,6,False
MA1015000,ATHOL DPW  WATER DIVISION,10007,3/26/2025,10.5,0,6,False
MA1015000,ATHOL DPW  WATER DIVISION,10007,9/10/2024,10.5,0,6,False
MA1024000,BELCHERTOWN WATER DISTRICT,10004,3/6/2023,10.5,0,6,False
MA1024000,BELCHERTOWN WATER DISTRICT,10004,9/11/2023,10.5,0,6,False
MA1024000,BELCHERTOWN WATER DISTRICT,10006,3/6/2023,10.5,0,6,False
MA1024000,BELCHERTOWN WATER DISTRICT,10006,9/11/2023,10.5,0,6,False
MA1061000,CHICOPEE WATER DEPT (MWRA),10028,1/8/2024,10.5,0,6,False
MA1061000,CHICOPEE WATER DEPT (MWRA),10028,10/7/2024,10.5,0,6,False
MA1061000,CHICOPEE WATER DEPT (MWRA),10028,4/9/2024,10.5,0,6,False
MA1061000,CHICOPEE WATER DEPT (MWRA),10028,7/9/2024,10.5,0,6,False
MA1070000,DALTON FIRE DISTRICT,EP1,3/4/2025,10.5,0,6,False
MA1070000,DALTON FIRE DISTRICT,EP1,6/2/2025,10.5,0,6,False
MA1070000,DALTON FIRE DISTRICT,EP1,9/10/2025,10.5,0,6,False
MA1070000,DALTON FIRE DISTRICT,EP2,3/4/2025,10.5,0,6,False
MA1070000,DALTON FIRE DISTRICT,EP2,6/2/2025,10.5,0,6,False
