PWSID,pws_name,total_samples,total_results,any_detection,ever_exceeded_federal_mcl,max_pfoa_ppt,max_pfos_ppt,num_pfas_detected,max_pfas6_sum_ppt,ever_exceeded_ma_mmcl
MA1004000,ADAMS FIRE DISTRICT,2,58,False,False,,,0,10.5,False
MA1005000,AGAWAM WATER DEPARTMENT,4,116,False,False,,,0,10.5,False
MA1008000,AMHERST DPW  WATER DIVISION,15,348,False,False,,,0,10.5,False
MA1015000,ATHOL DPW  WATER DIVISION,4,116,False,False,,,0,10.5,False
MA1024000,BELCHERTOWN WATER DISTRICT,4,116,False,False,,,0,10.5,False
MA1061000,CHICOPEE WATER DEPT (MWRA),4,116,False,False,,,0,10.5,False
MA1070000,DALTON FIRE DISTRICT,6,174,False,False,,,0,10.5,False
MA1074001,SOUTH DEERFIELD WATER SUPPLY DISTRICT,4,116,False,False,,,0,10.5,False
MA1085000,EAST LONGMEADOW DPW WATER DEPT,4,116,False,False,,,0,10.5,False
MA1087000,EASTHAMPTON WATER DEPT,8,232,False,False,,,0,10.5,False
MA1113000,GREAT BARRINGTON FIRE DIST,2,58,False,False,,,0,10.5,False
MA1114000,GREENFIELD WATER DEPARTMENT,6,174,False,False,,,0,10.5,False
MA1117002,HADLEY DPW WATER DIVISION,4,116,False,False,,,0,10.5,False
MA1127000,HATFIELD WATER DEPT,8,232,True,False,,,4,10.5,False
MA1137000,HOLYOKE WATER WORKS,8,207,False,False,,,0,10.5,False
MA1150000,LEE WATER DEPT,4,116,False,False,,,0,10.5,False
MA1152000,LENOX DPW WATER DIVISION,4,116,False,False,,,0,10.5,False
MA1159000,LONGMEADOW WATER DEPT,4,116,False,False,,,0,10.5,False
MA1191000,MONSON WATER AND SEWER DEPT,7,174,False,False,,,0,10.5,False
MA1192000,TURNERS FALLS WATER DEPT,4,116,False,False,,,0,10.5,False
MA1209000,NORTH ADAMS WATER DEPT,5,116,True,True,5.8999999999999995,,1,14.399999999999999,False
MA1214000,NORTHAMPTON WATER DEPT,9,232,False,False,,,0,10.5,False
MA1223000,ORANGE WATER DEPT,9,261,True,False,,,1,13.3,False
MA1227000,PALMER WATER DISTRICT NO.1,8,232,False,False,,,0,10.5,False
MA1236000,PITTSFIELD DPU WATER DEPT,9,207,False,False,,,0,10.5,False
MA1275000,SOUTH HADLEY FD #1 (MWRA),4,116,False,False,,,0,10.5,False
MA1275001,SOUTH HADLEY FIRE DISTRICT #2 WATER DEPT,4,116,False,False,,,0,10.5,False
MA1276000,SOUTHAMPTON WATER DEPT,4,116,False,False,,,0,10.5,False
MA1279000,SOUTHWICK WATER DEPT,8,232,False,False,,,0,10.5,False
MA1281000,SPRINGFIELD WATER AND SEWER COMMISSION,4,116,False,False,,,0,10.5,False
MA1309000,WARE WATER DEPT,4,116,True,True,4.8999999999999995,7.1000000000000005,4,18.5,False
MA1325000,WEST SPRINGFIELD DPW WATER DIVISION,2,58,False,False,,,0,10.5,False
MA1329000,WESTFIELD WATER DEPT,14,406,True,False,,,1,10.5,False
MA1337010,WHATELY WATER DEPARTMENT,2,58,False,False,,,0,10.5,False
MA1339000,WILBRAHAM WATER DEPT (MWRA),4,116,False,False,,,0,10.5,False
MA1341000,WILLIAMSTOWN WATER DEPT,6,174,False,False,,,0,10.5,False
MA1341010,MT GREYLOCK REGIONAL SCHOOL,3,58,False,False,,,0,10.5,False
MA2002000,ACTON WATER SUPPLY DISTRICT,11,290,True,True,13.4,4.8999999999999995,8,25.6,True
MA2011000,ASHBURNHAM WATER DEPARTMENT,4,116,False,False,,,0,10.5,False
MA2011004,ASH/WIN JOINT WATER AUTHORITY,5,116,False,False,,,0,10.5,False
MA2017000,"AUBURN WATER DISTRICT, MA",12,348,True,True,5.7,4.7,4,16.2,False
MA2019000,AYER DPW  WATER DIVISION,5,116,True,False,,,3,10.5,False
MA2019001,DEVENS  MASSDEVELOPMENT,6,174,True,False,,,2,10.5,False
MA2021000,BARRE WATER DEPARTMENT,8,174,False,False,,,0,10.5,False
MA2025000,BELLINGHAM DPW  WATER  SEWER DIV.,4,116,True,True,4.3,5.0,3,15.8,False
MA2032000,BLACKSTONE WATER DEPARTMENT,2,58,True,True,5.7,,1,14.2,False
MA2039000,BOYLSTON WATER DISTRICT,3,87,True,True,6.0,,2,14.5,False
MA2064000,CLINTON WATER DEPT,4,116,False,False,,,0,10.5,False
MA2077000,DOUGLAS WATER DEPARTMENT,2,58,False,False,,,0,10.5,False
MA2080000,DUDLEY WATER DEPARTMENT,2,58,False,False,,,0,10.5,False
MA2080006,SOUTHBRIDGE TOOL AND MANUFACTURING,3,58,False,False,,,0,10.5,False
MA2097000,"FITCHBURG DPW, DIV. OF WATER SUPPLY",8,232,True,True,4.8999999999999995,,3,13.399999999999999,False
MA2101000,"FRANKLIN WATER DEPARTMENT, MA",15,406,True,True,4.7,5.6,5,16.8,False
MA2103000,GARDNER WATER DEPARTMENT,6,174,False,False,,,0,10.5,False
