id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
6604,01MA,heliport,Compaq Andover Heliport,42.625099182128906,-71.18009948730469,140,NA,US,US-MA,Andover,no,,,01MA,01MA,,,
6660,02MA,heliport,Cuttyhunk Heliport,41.419601,-70.927002,9,NA,US,US-MA,Cuttyhunk,no,,,02MA,02MA,,,
6717,03MA,small_airport,Hadley Airport,42.393431,-72.551553,150,NA,US,US-MA,Hadley,no,,,03MA,03MA,,,
6773,04MA,small_airport,Goddard Field,42.810908,-71.140959,200,NA,US,US-MA,Haverhill,no,,,04MA,04MA,,,
6831,05MA,heliport,Bentley Heliport,42.691200256347656,-70.91230010986328,80,NA,US,US-MA,Ipswich,no,,,05MA,05MA,,,
6883,06MA,heliport,The Barn Heliport,42.69060134887695,-71.60900115966797,210,NA,US,US-MA,Pepperell,no,,,06MA,06MA,,,
6937,07MA,heliport,West Pond Heliport,41.91699981689453,-70.70950317382812,149,NA,US,US-MA,Plymouth,no,,,07MA,07MA,,,
6986,08MA,small_airport,Wormid Airport,42.29399871826172,-71.49620056152344,360,NA,US,US-MA,Southborough,no,,,08MA,08MA,,,
7037,09MA,small_airport,Kallander Field,42.304298400878906,-71.50589752197266,403,NA,US,US-MA,Southborough,no,,,09MA,09MA,,,
7302,0MA1,heliport,Massachusetts General Hospital Heliport,42.363656,-71.069142,214,NA,US,US-MA,Boston,no,,,0MA1,0MA1,,,
7303,0MA2,heliport,Healthalliance Hospital-Leominster Heliport,42.54090118408203,-71.76280212402344,450,NA,US,US-MA,Leominster,no,,,0MA2,0MA2,,,
7304,0MA3,heliport,Reh Heliport,41.786224,-71.231437,100,NA,US,US-MA,Rehoboth,no,,,0MA3,0MA3,,,
7305,0MA4,heliport,Boston Medical Center Hospital Heliport,42.333804,-71.071352,19,NA,US,US-MA,Boston,no,,,0MA4,0MA4,,,
7306,0MA5,heliport,Brockton Usar Center Heliport,42.05590057373047,-71.05590057373047,85,NA,US,US-MA,Brockton,no,,,0MA5,0MA5,,,
